Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,Passenger 434,male,50.0,1,0,T00434,55.9,E,S
1,1,Passenger 435,female,14.0,1,2,T00435,120.0,B,S
0,3,Passenger 436,female,21.0,2,2,T00436,34.375,,S
1,2,Passenger 437,female,24.0,2,3,T00437,18.75,,S
0,1,Passenger 438,male,64.0,1,4,T00438,263.0,C,S
0,2,Passenger 439,male,31.0,0,0,T00439,10.5,,S
1,2,Passenger 440,female,45.0,1,1,T00440,26.25,,S
0,3,Passenger 441,male,20.0,0,0,T00441,9.5,,S
0,3,Passenger 442,male,25.0,1,0,T00442,7.775,,S
1,2,Passenger 443,female,28.0,0,0,T00443,13.0,,S
1,3,Passenger 444,male,,0,0,T00444,8.1125,,S
1,1,Passenger 445,male,4.0,0,2,T00445,81.8583,A,S
1,2,Passenger 446,female,13.0,0,1,T00446,19.5,,S
1,1,Passenger 447,male,34.0,0,0,T00447,26.55,,S
1,3,Passenger 448,female,5.0,2,1,T00448,19.2583,,C
1,1,Passenger 449,male,52.0,0,0,T00449,30.5,C,S
0,2,Passenger 450,male,36.0,1,2,T00450,27.75,,S
0,3,Passenger 451,male,,1,0,T00451,19.9667,,S
0,1,Passenger 452,male,30.0,0,0,T00452,27.75,C,C
1,1,Passenger 453,male,49.0,1,0,T00453,89.1042,C,C
0,3,Passenger 454,male,,0,0,T00454,8.05,,S
1,3,Passenger 455,male,29.0,0,0,T00455,7.8958,,C
0,1,Passenger 456,male,65.0,0,0,T00456,26.55,E,S
1,1,Passenger 457,female,,1,0,T00457,51.8625,D,S
1,2,Passenger 458,female,50.0,0,0,T00458,10.5,,S
0,3,Passenger 459,male,,0,0,T00459,7.75,,Q
1,1,Passenger 460,male,48.0,0,0,T00460,26.55,E,S
0,3,Passenger 461,male,34.0,0,0,T00461,8.05,,S
0,1,Passenger 462,male,47.0,0,0,T00462,38.5,E,S
0,2,Passenger 463,male,48.0,0,0,T00463,13.0,,S
0,3,Passenger 464,male,,0,0,T00464,8.05,,S
0,3,Passenger 465,male,38.0,0,0,T00465,7.05,,S
0,2,Passenger 466,male,,0,0,T00466,0.0,,S
0,1,Passenger 467,male,56.0,0,0,T00467,26.55,,S
0,3,Passenger 468,male,,0,0,T00468,7.725,,Q
1,3,Passenger 469,female,0.75,2,1,T00469,19.2583,,C
0,3,Passenger 470,male,,0,0,T00470,7.25,,S
0,3,Passenger 471,male,38.0,0,0,T00471,8.6625,,S
1,2,Passenger 472,female,33.0,1,2,T00472,27.75,,S
1,2,Passenger 473,female,23.0,0,0,T00473,13.7917,D,C
0,3,Passenger 474,female,22.0,0,0,T00474,9.8375,,S
0,1,Passenger 475,male,,0,0,T00475,52.0,A,S
0,2,Passenger 476,male,34.0,1,0,T00476,21.0,,S
0,3,Passenger 477,male,29.0,1,0,T00477,7.0458,,S
0,3,Passenger 478,male,22.0,0,0,T00478,7.5208,,S
1,3,Passenger 479,female,2.0,0,1,T00479,12.2875,,S
0,3,Passenger 480,male,9.0,5,2,T00480,46.9,,S
0,2,Passenger 481,male,,0,0,T00481,0.0,,S
0,3,Passenger 482,male,50.0,0,0,T00482,8.05,,S
1,3,Passenger 483,female,63.0,0,0,T00483,9.5875,,S
1,1,Passenger 484,male,25.0,1,0,T00484,91.0792,B,C
0,3,Passenger 485,female,,3,1,T00485,25.4667,,S
1,1,Passenger 486,female,35.0,1,0,T00486,90.0,C,S
0,1,Passenger 487,male,58.0,0,0,T00487,29.7,B,C
0,3,Passenger 488,male,30.0,0,0,T00488,8.05,,S
1,3,Passenger 489,male,9.0,1,1,T00489,15.9,,S
0,3,Passenger 490,male,,1,0,T00490,19.9667,,S
0,3,Passenger 491,male,21.0,0,0,T00491,7.25,,S
0,1,Passenger 492,male,55.0,0,0,T00492,30.5,C,S
0,1,Passenger 493,male,71.0,0,0,T00493,49.5042,,C
0,3,Passenger 494,male,21.0,0,0,T00494,8.05,,S
0,3,Passenger 495,male,,0,0,T00495,14.4583,,C
1,1,Passenger 496,female,54.0,1,0,T00496,78.2667,D,C
0,3,Passenger 497,male,,0,0,T00497,15.1,,S
0,1,Passenger 498,female,25.0,1,2,T00498,151.55,C,S
0,3,Passenger 499,male,24.0,0,0,T00499,7.7958,,S
0,3,Passenger 500,male,17.0,0,0,T00500,8.6625,,S
0,3,Passenger 501,female,21.0,0,0,T00501,7.75,,Q
0,3,Passenger 502,female,,0,0,T00502,7.6292,,Q
0,3,Passenger 503,female,37.0,0,0,T00503,9.5875,,S
1,1,Passenger 504,female,16.0,0,0,T00504,86.5,B,S
0,1,Passenger 505,male,18.0,1,0,T00505,108.9,C,C
1,2,Passenger 506,female,33.0,0,2,T00506,26.0,,S
1,1,Passenger 507,male,,0,0,T00507,26.55,,S
0,3,Passenger 508,male,28.0,0,0,T00508,22.525,,S
1,3,Passenger 509,male,26.0,0,0,T00509,56.4958,,S
1,3,Passenger 510,male,29.0,0,0,T00510,7.75,,Q
0,3,Passenger 511,male,,0,0,T00511,8.05,,S
1,1,Passenger 512,male,36.0,0,0,T00512,26.2875,E,S
1,1,Passenger 513,female,54.0,1,0,T00513,59.4,,C
0,3,Passenger 514,male,24.0,0,0,T00514,7.4958,,S
0,1,Passenger 515,male,47.0,0,0,T00515,34.0208,D,S
1,2,Passenger 516,female,34.0,0,0,T00516,10.5,F,S
0,3,Passenger 517,male,,0,0,T00517,24.15,,Q
1,2,Passenger 518,female,36.0,1,0,T00518,26.0,,S
0,3,Passenger 519,male,32.0,0,0,T00519,7.8958,,S
1,1,Passenger 520,female,30.0,0,0,T00520,93.5,B,S
0,3,Passenger 521,male,22.0,0,0,T00521,7.8958,,S
0,3,Passenger 522,male,,0,0,T00522,7.225,,C
1,1,Passenger 523,female,44.0,0,1,T00523,57.9792,B,C
0,3,Passenger 524,male,,0,0,T00524,7.2292,,C
0,3,Passenger 525,male,40.5,0,0,T00525,7.75,,Q
1,2,Passenger 526,female,50.0,0,0,T00526,10.5,,S
0,1,Passenger 527,male,,0,0,T00527,221.7792,C,S
0,3,Passenger 528,male,39.0,0,0,T00528,7.925,,S
0,2,Passenger 529,male,23.0,2,1,T00529,11.5,,S
1,2,Passenger 530,female,2.0,1,1,T00530,26.0,,S
0,3,Passenger 531,male,,0,0,T00531,7.2292,,C
0,3,Passenger 532,male,17.0,1,1,T00532,7.2292,,C
1,3,Passenger 533,female,,0,2,T00533,22.3583,,C
0,3,Passenger 534,female,30.0,0,0,T00534,8.6625,,S
1,2,Passenger 535,female,7.0,0,2,T00535,26.25,,S
0,1,Passenger 536,male,45.0,0,0,T00536,26.55,B,S
1,1,Passenger 537,female,30.0,0,0,T00537,106.425,,C
0,3,Passenger 538,male,,0,0,T00538,14.5,,S
1,1,Passenger 539,female,22.0,0,2,T00539,49.5,B,C
1,1,Passenger 540,female,36.0,0,2,T00540,71.0,B,S
0,3,Passenger 541,female,9.0,4,2,T00541,31.275,,S
0,3,Passenger 542,female,11.0,4,2,T00542,31.275,,S
1,2,Passenger 543,male,32.0,1,0,T00543,26.0,,S
0,1,Passenger 544,male,50.0,1,0,T00544,106.425,C,C
0,1,Passenger 545,male,64.0,0,0,T00545,26.0,,S
1,2,Passenger 546,female,19.0,1,0,T00546,26.0,,S
1,2,Passenger 547,male,,0,0,T00547,13.8625,,C
0,3,Passenger 548,male,33.0,1,1,T00548,20.525,,S
1,2,Passenger 549,male,8.0,1,1,T00549,36.75,,S
1,1,Passenger 550,male,17.0,0,2,T00550,110.8833,C,C
0,2,Passenger 551,male,27.0,0,0,T00551,26.0,,S
0,3,Passenger 552,male,,0,0,T00552,7.8292,,Q
1,3,Passenger 553,male,22.0,0,0,T00553,7.225,,C
1,3,Passenger 554,female,22.0,0,0,T00554,7.775,,S
0,1,Passenger 555,male,62.0,0,0,T00555,26.55,,S
1,1,Passenger 556,female,48.0,1,0,T00556,39.6,A,C
0,1,Passenger 557,male,,0,0,T00557,227.525,,C
1,1,Passenger 558,female,39.0,1,1,T00558,79.65,E,S
1,3,Passenger 559,female,36.0,1,0,T00559,17.4,,S
0,3,Passenger 560,male,,0,0,T00560,7.75,,Q
0,3,Passenger 561,male,40.0,0,0,T00561,7.8958,,S
0,2,Passenger 562,male,28.0,0,0,T00562,13.5,,S
0,3,Passenger 563,male,,0,0,T00563,8.05,,S
0,3,Passenger 564,female,,0,0,T00564,8.05,,S
0,3,Passenger 565,male,24.0,2,0,T00565,24.15,,S
0,3,Passenger 566,male,19.0,0,0,T00566,7.8958,,S
0,3,Passenger 567,female,29.0,0,4,T00567,21.075,,S
0,3,Passenger 568,male,,0,0,T00568,7.2292,,C
1,3,Passenger 569,male,32.0,0,0,T00569,7.8542,,S
1,2,Passenger 570,male,62.0,0,0,T00570,10.5,,S
1,1,Passenger 571,female,53.0,2,0,T00571,51.4792,C,S
1,1,Passenger 572,male,36.0,0,0,T00572,26.3875,E,S
1,3,Passenger 573,female,,0,0,T00573,7.75,,Q
0,3,Passenger 574,male,16.0,0,0,T00574,8.05,,S
0,3,Passenger 575,male,19.0,0,0,T00575,14.5,,S
1,2,Passenger 576,female,34.0,0,0,T00576,13.0,,S
1,1,Passenger 577,female,39.0,1,0,T00577,55.9,E,S
0,3,Passenger 578,female,,1,0,T00578,14.4583,,C
1,3,Passenger 579,male,32.0,0,0,T00579,7.925,,S
1,2,Passenger 580,female,25.0,1,1,T00580,30.0,,S
1,1,Passenger 581,female,39.0,1,1,T00581,110.8833,C,C
0,2,Passenger 582,male,54.0,0,0,T00582,26.0,,S
0,1,Passenger 583,male,36.0,0,0,T00583,40.125,A,C
0,3,Passenger 584,male,,0,0,T00584,8.7125,,C
1,1,Passenger 585,female,18.0,0,2,T00585,79.65,E,S
0,2,Passenger 586,male,47.0,0,0,T00586,15.0,,S
1,1,Passenger 587,male,60.0,1,1,T00587,79.2,B,C
0,3,Passenger 588,male,22.0,0,0,T00588,8.05,,S
0,3,Passenger 589,male,,0,0,T00589,8.05,,S
0,3,Passenger 590,male,35.0,0,0,T00590,7.125,,S
1,1,Passenger 591,female,52.0,1,0,T00591,78.2667,D,C
0,3,Passenger 592,male,47.0,0,0,T00592,7.25,,S
0,3,Passenger 593,female,,0,2,T00593,7.75,,Q
0,2,Passenger 594,male,37.0,1,0,T00594,26.0,,S
0,3,Passenger 595,male,36.0,1,1,T00595,24.15,,S
1,2,Passenger 596,female,,0,0,T00596,33.0,,S
0,3,Passenger 597,male,49.0,0,0,T00597,0.0,,S
0,3,Passenger 598,male,,0,0,T00598,7.225,,C
1,1,Passenger 599,male,49.0,1,0,T00599,56.9292,A,C
1,2,Passenger 600,female,24.0,2,1,T00600,27.0,,S
0,3,Passenger 601,male,,0,0,T00601,7.8958,,S
0,1,Passenger 602,male,,0,0,T00602,42.4,,S
0,3,Passenger 603,male,44.0,0,0,T00603,8.05,,S
1,1,Passenger 604,male,35.0,0,0,T00604,26.55,,C
0,3,Passenger 605,male,36.0,1,0,T00605,15.55,,S
0,3,Passenger 606,male,30.0,0,0,T00606,7.8958,,S
1,1,Passenger 607,male,27.0,0,0,T00607,30.5,,S
1,2,Passenger 608,female,22.0,1,2,T00608,41.5792,,C
1,1,Passenger 609,female,40.0,0,0,T00609,153.4625,C,S
0,3,Passenger 610,female,39.0,1,5,T00610,31.275,,S
0,3,Passenger 611,male,,0,0,T00611,7.05,,S
1,3,Passenger 612,female,,1,0,T00612,15.5,,Q
0,3,Passenger 613,male,,0,0,T00613,7.75,,Q
0,3,Passenger 614,male,35.0,0,0,T00614,8.05,,S
1,2,Passenger 615,female,24.0,1,2,T00615,65.0,,S
0,3,Passenger 616,male,34.0,1,1,T00616,14.4,,S
0,3,Passenger 617,female,26.0,1,0,T00617,16.1,,S
1,2,Passenger 618,female,4.0,2,1,T00618,39.0,F,S
0,2,Passenger 619,male,26.0,0,0,T00619,10.5,,S
0,3,Passenger 620,male,27.0,1,0,T00620,14.4542,,C
1,1,Passenger 621,male,42.0,1,0,T00621,52.5542,D,S
1,3,Passenger 622,male,20.0,1,1,T00622,15.7417,,C
0,3,Passenger 623,male,21.0,0,0,T00623,7.8542,,S
0,3,Passenger 624,male,21.0,0,0,T00624,16.1,,S
0,1,Passenger 625,male,61.0,0,0,T00625,32.3208,D,S
0,2,Passenger 626,male,57.0,0,0,T00626,12.35,,Q
1,1,Passenger 627,female,21.0,0,0,T00627,77.9583,D,S
0,3,Passenger 628,male,26.0,0,0,T00628,7.8958,,S
0,3,Passenger 629,male,,0,0,T00629,7.7333,,Q
1,1,Passenger 630,male,80.0,0,0,T00630,30.0,A,S
0,3,Passenger 631,male,51.0,0,0,T00631,7.0542,,S
1,1,Passenger 632,male,32.0,0,0,T00632,30.5,B,C
0,1,Passenger 633,male,,0,0,T00633,0.0,,S
0,3,Passenger 634,female,9.0,3,2,T00634,27.9,,S
1,2,Passenger 635,female,28.0,0,0,T00635,13.0,,S
0,3,Passenger 636,male,32.0,0,0,T00636,7.925,,S
0,2,Passenger 637,male,31.0,1,1,T00637,26.25,,S
0,3,Passenger 638,female,41.0,0,5,T00638,39.6875,,S
0,3,Passenger 639,male,,1,0,T00639,16.1,,S
0,3,Passenger 640,male,20.0,0,0,T00640,7.8542,,S
1,1,Passenger 641,female,24.0,0,0,T00641,69.3,B,C
0,3,Passenger 642,female,2.0,3,2,T00642,27.9,,S
1,3,Passenger 643,male,,0,0,T00643,56.4958,,S
1,3,Passenger 644,female,0.75,2,1,T00644,19.2583,,C
1,1,Passenger 645,male,48.0,1,0,T00645,76.7292,D,C
0,3,Passenger 646,male,19.0,0,0,T00646,7.8958,,S
1,1,Passenger 647,male,56.0,0,0,T00647,35.5,A,C
0,3,Passenger 648,male,,0,0,T00648,7.55,,S
1,3,Passenger 649,female,23.0,0,0,T00649,7.55,,S
0,3,Passenger 650,male,,0,0,T00650,7.8958,,S
1,2,Passenger 651,female,18.0,0,1,T00651,23.0,,S
0,3,Passenger 652,male,21.0,0,0,T00652,8.4333,,S
1,3,Passenger 653,female,,0,0,T00653,7.8292,,Q
0,3,Passenger 654,female,18.0,0,0,T00654,6.75,,Q
0,2,Passenger 655,male,24.0,2,0,T00655,73.5,,S
0,3,Passenger 656,male,,0,0,T00656,7.8958,,S
0,3,Passenger 657,female,32.0,1,1,T00657,15.5,,Q
0,2,Passenger 658,male,23.0,0,0,T00658,13.0,,S
0,1,Passenger 659,male,58.0,0,2,T00659,113.275,D,C
1,1,Passenger 660,male,50.0,2,0,T00660,133.65,,S
0,3,Passenger 661,male,40.0,0,0,T00661,7.225,,C
0,1,Passenger 662,male,47.0,0,0,T00662,25.5875,E,S
0,3,Passenger 663,male,36.0,0,0,T00663,7.4958,,S
1,3,Passenger 664,male,20.0,1,0,T00664,7.925,,S
0,2,Passenger 665,male,32.0,2,0,T00665,73.5,,S
0,2,Passenger 666,male,25.0,0,0,T00666,13.0,,S
0,3,Passenger 667,male,,0,0,T00667,7.775,,S
0,3,Passenger 668,male,43.0,0,0,T00668,8.05,,S
1,1,Passenger 669,female,,1,0,T00669,52.0,C,S
1,2,Passenger 670,female,40.0,1,1,T00670,39.0,,S
0,1,Passenger 671,male,31.0,1,0,T00671,52.0,B,S
0,2,Passenger 672,male,70.0,0,0,T00672,10.5,,S
1,2,Passenger 673,male,31.0,0,0,T00673,13.0,,S
0,2,Passenger 674,male,,0,0,T00674,0.0,,S
0,3,Passenger 675,male,18.0,0,0,T00675,7.775,,S
0,3,Passenger 676,male,24.5,0,0,T00676,8.05,,S
1,3,Passenger 677,female,18.0,0,0,T00677,9.8417,,S
0,3,Passenger 678,female,43.0,1,6,T00678,46.9,,S
1,1,Passenger 679,male,36.0,0,1,T00679,512.3292,B,C
0,3,Passenger 680,female,,0,0,T00680,8.1375,,Q
1,1,Passenger 681,male,27.0,0,0,T00681,76.7292,D,C
0,3,Passenger 682,male,20.0,0,0,T00682,9.225,,S
0,3,Passenger 683,male,14.0,5,2,T00683,46.9,,S
0,2,Passenger 684,male,60.0,1,1,T00684,39.0,,S
0,2,Passenger 685,male,25.0,1,2,T00685,41.5792,,C
0,3,Passenger 686,male,14.0,4,1,T00686,39.6875,,S
0,3,Passenger 687,male,19.0,0,0,T00687,10.1708,,S
0,3,Passenger 688,male,18.0,0,0,T00688,7.7958,,S
1,1,Passenger 689,female,15.0,0,1,T00689,211.3375,B,S
1,1,Passenger 690,male,31.0,1,0,T00690,57.0,B,S
1,3,Passenger 691,female,4.0,0,1,T00691,13.4167,,C
1,3,Passenger 692,male,,0,0,T00692,56.4958,,S
0,3,Passenger 693,male,25.0,0,0,T00693,7.225,,C
0,1,Passenger 694,male,60.0,0,0,T00694,26.55,,S
0,2,Passenger 695,male,52.0,0,0,T00695,13.5,,S
0,3,Passenger 696,male,44.0,0,0,T00696,8.05,,S
1,3,Passenger 697,female,,0,0,T00697,7.7333,,Q
0,1,Passenger 698,male,49.0,1,1,T00698,110.8833,C,C
0,3,Passenger 699,male,42.0,0,0,T00699,7.65,F,S
1,1,Passenger 700,female,18.0,1,0,T00700,227.525,C,C
1,1,Passenger 701,male,35.0,0,0,T00701,26.2875,E,S
0,3,Passenger 702,female,18.0,0,1,T00702,14.4542,,C
0,3,Passenger 703,male,25.0,0,0,T00703,7.7417,,Q
0,3,Passenger 704,male,26.0,1,0,T00704,7.8542,,S
0,2,Passenger 705,male,39.0,0,0,T00705,26.0,,S
1,2,Passenger 706,female,45.0,0,0,T00706,13.5,,S
1,1,Passenger 707,male,42.0,0,0,T00707,26.2875,E,S
1,1,Passenger 708,female,22.0,0,0,T00708,151.55,,S
1,3,Passenger 709,male,,1,1,T00709,15.2458,,C
1,1,Passenger 710,female,24.0,0,0,T00710,49.5042,C,C
0,1,Passenger 711,male,,0,0,T00711,26.55,C,S
1,1,Passenger 712,male,48.0,1,0,T00712,52.0,C,S
0,3,Passenger 713,male,29.0,0,0,T00713,9.4833,,S
0,2,Passenger 714,male,52.0,0,0,T00714,13.0,,S
0,3,Passenger 715,male,19.0,0,0,T00715,7.65,F,S
1,1,Passenger 716,female,38.0,0,0,T00716,227.525,C,C
1,2,Passenger 717,female,27.0,0,0,T00717,10.5,E,S
0,3,Passenger 718,male,,0,0,T00718,15.5,,Q
0,3,Passenger 719,male,33.0,0,0,T00719,7.775,,S
1,2,Passenger 720,female,6.0,0,1,T00720,33.0,,S
0,3,Passenger 721,male,17.0,1,0,T00721,7.0542,,S
0,2,Passenger 722,male,34.0,0,0,T00722,13.0,,S
0,2,Passenger 723,male,50.0,0,0,T00723,13.0,,S
1,1,Passenger 724,male,27.0,1,0,T00724,53.1,E,S
0,3,Passenger 725,male,20.0,0,0,T00725,8.6625,,S
1,2,Passenger 726,female,30.0,3,0,T00726,21.0,,S
1,3,Passenger 727,female,,0,0,T00727,7.7375,,Q
0,2,Passenger 728,male,25.0,1,0,T00728,26.0,,S
0,3,Passenger 729,female,25.0,1,0,T00729,7.925,,S
1,1,Passenger 730,female,29.0,0,0,T00730,211.3375,B,S
0,3,Passenger 731,male,11.0,0,0,T00731,18.7875,,C
0,2,Passenger 732,male,,0,0,T00732,0.0,,S
0,2,Passenger 733,male,23.0,0,0,T00733,13.0,,S
0,2,Passenger 734,male,23.0,0,0,T00734,13.0,,S
0,3,Passenger 735,male,28.5,0,0,T00735,16.1,,S
0,3,Passenger 736,female,48.0,1,3,T00736,34.375,,S
1,1,Passenger 737,male,35.0,0,0,T00737,512.3292,B,C
0,3,Passenger 738,male,,0,0,T00738,7.8958,,S
0,3,Passenger 739,male,,0,0,T00739,7.8958,,S
1,1,Passenger 740,male,,0,0,T00740,30.0,D,S
0,1,Passenger 741,male,36.0,1,0,T00741,78.85,C,S
1,1,Passenger 742,female,21.0,2,2,T00742,262.375,B,C
0,3,Passenger 743,male,24.0,1,0,T00743,16.1,,S
1,3,Passenger 744,male,31.0,0,0,T00744,7.925,,S
0,1,Passenger 745,male,70.0,1,1,T00745,71.0,B,S
0,3,Passenger 746,male,16.0,1,1,T00746,20.25,,S
1,2,Passenger 747,female,30.0,0,0,T00747,13.0,,S
0,1,Passenger 748,male,19.0,1,0,T00748,53.1,D,S
0,3,Passenger 749,male,31.0,0,0,T00749,7.75,,Q
1,2,Passenger 750,female,4.0,1,1,T00750,23.0,,S
1,3,Passenger 751,male,6.0,0,1,T00751,12.475,E,S
0,3,Passenger 752,male,33.0,0,0,T00752,9.5,,S
0,3,Passenger 753,male,23.0,0,0,T00753,7.8958,,S
1,2,Passenger 754,female,48.0,1,2,T00754,65.0,,S
1,2,Passenger 755,male,0.67,1,1,T00755,14.5,,S
0,3,Passenger 756,male,28.0,0,0,T00756,7.7958,,S
0,2,Passenger 757,male,18.0,0,0,T00757,11.5,,S
0,3,Passenger 758,male,34.0,0,0,T00758,8.05,,S
1,1,Passenger 759,female,33.0,0,0,T00759,86.5,B,S
0,3,Passenger 760,male,,0,0,T00760,14.5,,S
0,3,Passenger 761,male,41.0,0,0,T00761,7.125,,S
1,3,Passenger 762,male,20.0,0,0,T00762,7.2292,,C
1,1,Passenger 763,female,36.0,1,2,T00763,120.0,B,S
0,3,Passenger 764,male,16.0,0,0,T00764,7.775,,S
1,1,Passenger 765,female,51.0,1,0,T00765,77.9583,D,S
0,1,Passenger 766,male,,0,0,T00766,39.6,,C
0,3,Passenger 767,female,30.5,0,0,T00767,7.75,,Q
0,3,Passenger 768,male,,1,0,T00768,24.15,,Q
0,3,Passenger 769,male,32.0,0,0,T00769,8.3625,,S
0,3,Passenger 770,male,24.0,0,0,T00770,9.5,,S
0,3,Passenger 771,male,48.0,0,0,T00771,7.8542,,S
0,2,Passenger 772,female,57.0,0,0,T00772,10.5,E,S
0,3,Passenger 773,male,,0,0,T00773,7.225,,C
1,2,Passenger 774,female,54.0,1,3,T00774,23.0,,S
0,3,Passenger 775,male,18.0,0,0,T00775,7.75,,S
0,3,Passenger 776,male,,0,0,T00776,7.75,F,Q
1,3,Passenger 777,female,5.0,0,0,T00777,12.475,,S
0,3,Passenger 778,male,,0,0,T00778,7.7375,,Q
1,1,Passenger 779,female,43.0,0,1,T00779,211.3375,B,S
1,3,Passenger 780,female,13.0,0,0,T00780,7.2292,,C
1,1,Passenger 781,female,17.0,1,0,T00781,57.0,B,S
0,1,Passenger 782,male,29.0,0,0,T00782,30.0,D,S
0,3,Passenger 783,male,,1,2,T00783,23.45,,S
0,3,Passenger 784,male,25.0,0,0,T00784,7.05,,S
0,3,Passenger 785,male,25.0,0,0,T00785,7.25,,S
1,3,Passenger 786,female,18.0,0,0,T00786,7.4958,,S
0,3,Passenger 787,male,8.0,4,1,T00787,29.125,,Q
1,3,Passenger 788,male,1.0,1,2,T00788,20.575,,S
0,1,Passenger 789,male,46.0,0,0,T00789,79.2,B,C
0,3,Passenger 790,male,,0,0,T00790,7.75,,Q
0,2,Passenger 791,male,16.0,0,0,T00791,26.0,,S
0,3,Passenger 792,female,,8,2,T00792,69.55,,S
0,1,Passenger 793,male,,0,0,T00793,30.6958,,C
0,3,Passenger 794,male,25.0,0,0,T00794,7.8958,,S
0,2,Passenger 795,male,39.0,0,0,T00795,13.0,,S
1,1,Passenger 796,female,49.0,0,0,T00796,25.9292,D,S
1,3,Passenger 797,female,31.0,0,0,T00797,8.6833,,S
0,3,Passenger 798,male,30.0,0,0,T00798,7.2292,,C
0,3,Passenger 799,female,30.0,1,1,T00799,24.15,,S
0,2,Passenger 800,male,34.0,0,0,T00800,13.0,,S
1,2,Passenger 801,female,31.0,1,1,T00801,26.25,,S
1,1,Passenger 802,male,11.0,1,2,T00802,120.0,B,S
1,3,Passenger 803,male,0.42,0,1,T00803,8.5167,,C
1,3,Passenger 804,male,27.0,0,0,T00804,6.975,,S
0,3,Passenger 805,male,31.0,0,0,T00805,7.775,,S
0,1,Passenger 806,male,39.0,0,0,T00806,0.0,A,S
0,3,Passenger 807,female,18.0,0,0,T00807,7.775,,S
0,2,Passenger 808,male,39.0,0,0,T00808,13.0,,S
1,1,Passenger 809,female,33.0,1,0,T00809,53.1,E,S
0,3,Passenger 810,male,26.0,0,0,T00810,7.8875,,S
0,3,Passenger 811,male,39.0,0,0,T00811,24.15,,S
0,2,Passenger 812,male,35.0,0,0,T00812,10.5,,S
0,3,Passenger 813,female,6.0,4,2,T00813,31.275,,S
0,3,Passenger 814,male,30.5,0,0,T00814,8.05,,S
0,1,Passenger 815,male,,0,0,T00815,0.0,B,S
0,3,Passenger 816,female,23.0,0,0,T00816,7.925,,S
0,2,Passenger 817,male,31.0,1,1,T00817,37.0042,,C
0,3,Passenger 818,male,43.0,0,0,T00818,6.45,,S
0,3,Passenger 819,male,10.0,3,2,T00819,27.9,,S
1,1,Passenger 820,female,52.0,1,1,T00820,93.5,B,S
1,3,Passenger 821,male,27.0,0,0,T00821,8.6625,,S
0,1,Passenger 822,male,38.0,0,0,T00822,0.0,,S
1,3,Passenger 823,female,27.0,0,1,T00823,12.475,E,S
0,3,Passenger 824,male,2.0,4,1,T00824,39.6875,,S
0,3,Passenger 825,male,,0,0,T00825,6.95,,Q
0,3,Passenger 826,male,,0,0,T00826,56.4958,,S
1,2,Passenger 827,male,1.0,0,2,T00827,37.0042,,C
1,3,Passenger 828,male,,0,0,T00828,7.75,,Q
1,1,Passenger 829,female,62.0,0,0,T00829,80.0,B,
1,3,Passenger 830,female,15.0,1,0,T00830,14.4542,,C
1,2,Passenger 831,male,0.83,1,1,T00831,18.75,,S
0,3,Passenger 832,male,,0,0,T00832,7.2292,,C
0,3,Passenger 833,male,23.0,0,0,T00833,7.8542,,S
0,3,Passenger 834,male,18.0,0,0,T00834,8.3,,S
1,1,Passenger 835,female,39.0,1,1,T00835,83.1583,E,C
0,3,Passenger 836,male,21.0,0,0,T00836,8.6625,,S
0,3,Passenger 837,male,,0,0,T00837,8.05,,S
1,3,Passenger 838,male,32.0,0,0,T00838,56.4958,,S
1,1,Passenger 839,male,,0,0,T00839,29.7,C,C
0,3,Passenger 840,male,20.0,0,0,T00840,7.925,,S
0,2,Passenger 841,male,16.0,0,0,T00841,10.5,,S
1,1,Passenger 842,female,30.0,0,0,T00842,31.0,,C
0,3,Passenger 843,male,34.5,0,0,T00843,6.4375,,C
0,3,Passenger 844,male,17.0,0,0,T00844,8.6625,,S
0,3,Passenger 845,male,42.0,0,0,T00845,7.55,,S
0,3,Passenger 846,male,,8,2,T00846,69.55,,S
0,3,Passenger 847,male,35.0,0,0,T00847,7.8958,,C
0,2,Passenger 848,male,28.0,0,1,T00848,33.0,,S
1,1,Passenger 849,female,,1,0,T00849,89.1042,C,C
0,3,Passenger 850,male,4.0,4,2,T00850,31.275,,S
0,3,Passenger 851,male,74.0,0,0,T00851,7.775,,S
0,3,Passenger 852,female,9.0,1,1,T00852,15.2458,,C
1,1,Passenger 853,female,16.0,0,1,T00853,39.4,D,S
0,2,Passenger 854,female,44.0,1,0,T00854,26.0,,S
1,3,Passenger 855,female,18.0,0,1,T00855,9.35,,S
1,1,Passenger 856,female,45.0,1,1,T00856,164.8667,,S
1,1,Passenger 857,male,51.0,0,0,T00857,26.55,E,S
1,3,Passenger 858,female,24.0,0,3,T00858,19.2583,,C
0,3,Passenger 859,male,,0,0,T00859,7.2292,,C
0,3,Passenger 860,male,41.0,2,0,T00860,14.1083,,S
0,2,Passenger 861,male,21.0,1,0,T00861,11.5,,S
1,1,Passenger 862,female,48.0,0,0,T00862,25.9292,D,S
0,3,Passenger 863,female,,8,2,T00863,69.55,,S
0,2,Passenger 864,male,24.0,0,0,T00864,13.0,,S
1,2,Passenger 865,female,42.0,0,0,T00865,13.0,,S
1,2,Passenger 866,female,27.0,1,0,T00866,13.8583,,C
0,1,Passenger 867,male,31.0,0,0,T00867,50.4958,A,S
0,3,Passenger 868,male,,0,0,T00868,9.5,,S
